,embedding,name
127,"[2.85972696e-04 3.50105896e-04 1.71994368e-04 ... 3.31455567e-07
 1.00209797e-06 1.01282985e-05]",embedding_pcam-middle_subset39
128,"[7.8109688e-06 2.7865699e-06 3.2520857e-06 ... 8.6913827e-09 1.0190147e-08
 4.5646367e-09]",embedding_kimia_subset22
129,"[7.0906465e-04 1.6016165e-04 1.5990618e-05 ... 2.6138295e-07 2.1789114e-07
 7.5049314e-07]",embedding_isic_subset99
130,"[4.6370774e-06 1.9550693e-05 1.6678617e-06 ... 4.2243709e-08 3.1905554e-08
 3.9681989e-08]",embedding_textures_subset15
131,"[2.8442822e-05 3.0697240e-05 3.5141418e-06 ... 1.8707208e-08 1.5142216e-08
 4.4189271e-08]",embedding_sti10_subset83
132,"[6.3177518e-04 1.0290939e-03 4.5770463e-05 ... 3.4346931e-07 4.9411182e-07
 1.7757033e-07]",embedding_chest_subset64
133,"[1.7524960e-06 4.5474309e-07 3.1643146e-06 ... 5.3236038e-09 1.0582981e-08
 1.1137988e-08]",embedding_kimia_subset49
134,"[2.1795224e-04 2.7731183e-04 1.5361572e-04 ... 6.5640663e-08 2.5411416e-07
 1.0465272e-07]",embedding_pcam-middle_subset33
135,"[6.1139168e-04 1.1519061e-04 1.0997158e-05 ... 3.6882682e-07 3.4220513e-08
 1.1047645e-07]",embedding_isic_subset74
136,"[2.9419089e-06 5.0362979e-07 6.2990250e-07 ... 4.5931610e-09 9.1294057e-09
 5.5263287e-09]",embedding_kimia_subset2
137,"[1.8280627e-04 2.8968870e-04 1.4826504e-04 ... 3.2033711e-07 2.6391226e-07
 2.0317511e-06]",embedding_pcam-small_subset25
138,"[2.3500497e-05 7.2964672e-06 6.6526809e-07 ... 1.6344345e-08 2.2481437e-08
 1.9505341e-08]",embedding_stl10_subset54
139,"[6.3708384e-04 7.6475780e-04 6.3900967e-05 ... 2.9232665e-09 4.5954090e-07
 7.4309219e-07]",embedding_chest_subset89
140,"[2.8205151e-04 3.7875873e-04 1.6988649e-04 ... 2.5773543e-06 1.5585678e-06
 1.0213349e-06]",embedding_pcam-middle_subset58
141,"[1.8604400e-06 4.0106825e-06 5.4000742e-07 ... 2.9422402e-09 1.3737821e-09
 4.9943356e-09]",embedding_textures_subset93
142,"[2.3439404e-06 6.5966975e-07 1.8784648e-07 ... 5.3050209e-09 1.3386834e-08
 3.2594925e-09]",embedding_kimia_subset43
143,"[1.9770973e-06 4.9436958e-06 8.8531874e-07 ... 3.8883146e-09 1.3616850e-08
 1.0468116e-08]",embedding_textures_subset74
144,"[1.9695211e-05 2.5342166e-05 1.5942798e-06 ... 5.5550995e-09 1.8615191e-08
 2.7602619e-08]",embedding_sti10_subset89
145,"[3.8319355e-04 7.9172023e-05 2.3994505e-06 ... 9.2162520e-07 2.0485832e-07
 1.1414993e-06]",embedding_isic_subset93
146,"[1.0141905e-06 2.9939224e-07 1.2663261e-06 ... 4.3686526e-09 7.2533544e-09
 1.3251418e-09]",embedding_kimia_subset28
147,"[2.6513253e-05 9.8724749e-06 9.9975910e-07 ... 2.6151696e-08 3.4149373e-08
 1.9466707e-08]",embedding_stl10_subset50
148,"[2.2419132e-04 2.9496226e-04 1.7515094e-04 ... 1.5235956e-07 2.4330216e-08
 3.4185146e-07]",embedding_pcam-small_subset21
149,"[4.3390000e-06 7.5968655e-06 9.8616749e-07 ... 1.0760251e-08 1.3385154e-08
 9.1582031e-09]",embedding_textures_subset97
150,"[2.9100550e-04 3.7263209e-04 1.7660182e-04 ... 1.5671218e-07 7.2692319e-09
 3.1143759e-07]",embedding_pcam-middle_subset37
151,"[5.7026314e-06 7.9395551e-07 1.1534222e-06 ... 9.4843084e-09 9.9976791e-09
 5.5080283e-09]",embedding_kimia_subset6
152,"[9.64382934e-07 3.66808513e-06 1.08313195e-07 ... 3.05076568e-08
 5.83330106e-10 4.79294215e-10]",embedding_isic_subset70
153,"[4.2348713e-04 1.1922006e-04 5.3391973e-06 ... 2.7312959e-07 2.1563949e-06
 3.0177430e-06]",embedding_isic_subset97
154,"[6.7062098e-07 2.8835049e-07 2.7443605e-07 ... 1.1525784e-08 6.9021109e-09
 2.9917293e-09]",embedding_kimia_subset47
155,"[1.5957575e-06 4.1363437e-06 5.8113631e-07 ... 5.7787806e-09 3.1924769e-09
 5.4727134e-09]",embedding_textures_subset70
156,"[2.2343734e-04 2.7432988e-04 1.8882977e-04 ... 6.5286127e-07 7.0929826e-07
 8.5318504e-07]",embedding_pcam-small_subset40
157,"[1.5539541e-05 1.6393862e-05 9.6327733e-07 ... 1.1576136e-07 1.0988971e-08
 1.3241256e-08]",embedding_stl10_subset31
158,"[3.0676088e-05 1.2861102e-05 1.3953514e-06 ... 8.1870276e-08 8.2886224e-08
 4.4874380e-08]",embedding_sti10_subset60
159,"[3.0792074e-04 3.4663110e-04 1.9762051e-04 ... 3.6301055e-06 3.6113320e-06
 4.0459335e-07]",embedding_pcam-middle_subset56
160,"[1.3572806e-04 8.6326269e-05 2.7048891e-06 ... 1.7382925e-08 1.5119461e-08
 9.3770019e-08]",embedding_isic_subset11
161,"[4.6089580e-04 7.3690724e-04 5.6809266e-05 ... 6.5934785e-07 3.5999104e-08
 9.9495665e-08]",embedding_chest_subset87
162,"[1.2991870e-03 2.1200203e-03 1.3092997e-04 ... 2.6014129e-06 8.9431512e-07
 6.8135620e-08]",embedding_chest_subset60
